Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,145.570007,146.630005,144.940002,146.210007,142.201462,8827200
2018-12-04,146.320007,148.990005,145.820007,146.029999,142.026398,9803500
2018-12-06,144.500000,146.449997,142.789993,145.910004,141.909683,11572500
2018-12-07,145.490005,147.339996,144.119995,145.429993,141.442825,9444500
2018-12-10,145.389999,145.880005,142.380005,145.259995,141.277496,6848100
2018-12-11,146.289993,148.210007,145.789993,146.500000,142.483505,9857400
2018-12-12,147.000000,148.490005,147.000000,147.100006,143.067062,8869200
2018-12-13,146.960007,148.589996,146.800003,147.839996,143.786758,6008300
2018-12-14,144.339996,145.380005,130.199997,133.000000,129.353622,58140200
2018-12-17,128.320007,131.649994,126.830002,129.139999,125.599449,36933100
2018-12-18,132.050003,132.800003,129.199997,130.419998,126.844353,24640100
2018-12-19,129.869995,131.350006,127.089996,127.610001,124.111397,21232100
2018-12-20,127.720001,129.750000,126.760002,128.270004,124.753311,16609600
2018-12-21,127.800003,130.600006,127.120003,128.089996,124.578232,19732900
2018-12-24,127.300003,128.000000,121.000000,122.839996,119.472168,7531900
2018-12-26,123.419998,126.760002,122.010002,126.709999,123.236069,9253000
2018-12-27,125.870003,127.410004,123.070000,127.410004,123.916885,9918700
2018-12-28,127.910004,128.750000,126.750000,127.269997,123.780724,6537200
2018-12-31,128.179993,129.550003,127.419998,129.050003,125.511925,7409900
2019-01-02,128.130005,128.380005,126.279999,127.750000,124.247559,7631700
2019-01-03,128.139999,128.270004,125.360001,125.720001,122.273216,8654500
2019-01-04,127.120003,128.649994,126.730003,127.830002,124.325371,8831700
2019-01-07,127.629997,128.350006,126.800003,127.010002,123.527855,8404700
2019-01-08,128.179993,130.500000,127.730003,129.960007,126.396988,9351600
2019-01-09,129.830002,130.240005,128.330002,128.929993,125.395195,7403500
2019-01-10,127.690002,129.889999,127.690002,129.710007,126.153824,6224400
2019-01-11,129.000000,129.839996,128.309998,129.750000,126.192726,5300400
2019-01-14,128.740005,128.960007,127.589996,128.279999,124.763031,7374400
2019-01-15,128.520004,129.490005,127.650002,129.360001,125.813423,5194400
2019-01-16,129.410004,129.410004,127.900002,128.039993,124.529610,6264200
2019-01-17,127.709999,129.520004,127.459999,129.089996,125.550827,7632000
2019-01-18,129.899994,131.179993,129.449997,130.690002,127.106964,10593000
2019-01-22,128.199997,129.500000,127.010002,128.800003,125.268768,10568100
2019-01-23,128.500000,129.300003,127.930000,128.800003,125.268768,9267800
2019-01-24,128.490005,128.699997,125.000000,127.029999,123.547302,9917000
