Date,Open,High,Low,Close,Adj Close,Volume
2019-05-03,150.750000,152.029999,150.729996,152.029999,150.805145,5000
2019-05-06,149.770004,153.169998,149.770004,152.899994,151.668137,5400
2019-05-07,151.179993,151.179993,146.889999,147.669998,146.480270,5800
2019-05-08,147.600006,149.350006,147.600006,148.990005,147.789642,4900
2019-05-09,147.919998,149.589996,147.750000,149.470001,148.265778,3700
2019-05-10,147.570007,149.500000,146.970001,149.229996,148.027710,6700
2019-05-13,146.570007,147.070007,145.000000,145.559998,144.387283,4700
2019-05-14,146.520004,146.899994,145.970001,146.179993,145.002274,8500
2019-05-15,145.479996,147.100006,144.889999,146.850006,145.666901,18100
2019-05-16,148.509995,149.339996,148.070007,148.259995,147.065521,5900
2019-05-17,147.220001,148.809998,147.210007,147.699997,146.510025,5800
2019-05-20,147.270004,147.270004,146.490005,146.990005,145.805771,2700
2019-05-21,147.339996,147.839996,147.130005,147.669998,146.480270,5800
2019-05-22,147.520004,148.169998,146.610001,148.020004,146.827469,4300
2019-05-23,147.089996,147.199997,146.119995,147.199997,146.014069,3000
2019-05-24,148.270004,148.270004,146.979996,147.179993,145.994217,2400
2019-05-28,147.289993,147.550003,144.990005,145.169998,144.000412,4300
2019-05-29,143.509995,143.509995,141.419998,143.089996,141.937180,18500
2019-05-30,142.970001,142.979996,141.869995,142.320007,141.173386,4300
2019-05-31,141.110001,141.960007,140.600006,141.130005,139.992981,3100
2019-06-03,141.679993,142.889999,141.679993,142.429993,141.282501,2400
2019-06-04,143.380005,145.339996,143.380005,145.339996,144.169052,4700
2019-06-05,146.210007,146.210007,145.119995,145.380005,144.208725,2400
2019-06-06,145.539993,145.919998,145.139999,145.199997,144.030182,20100
2019-06-07,145.899994,147.020004,145.899994,146.660004,145.478424,19600
2019-06-10,146.970001,146.970001,146.119995,146.240005,145.061798,8100
2019-06-11,146.600006,146.649994,145.119995,145.309998,144.139282,4200
2019-06-12,145.600006,146.690002,145.600006,146.520004,145.339539,9600
2019-06-13,146.720001,146.720001,145.440002,146.080002,144.903091,15000
2019-06-14,145.419998,146.080002,144.990005,144.990005,143.821869,6300
2019-06-17,144.139999,145.339996,144.139999,145.179993,144.543686,5900
2019-06-18,145.559998,147.119995,145.559998,146.860001,146.216324,4700
2019-06-19,147.179993,148.300003,147.179993,148.190002,147.540497,16500
2019-06-20,149.190002,150.000000,148.539993,148.839996,148.187637,8400
2019-06-21,148.839996,149.330002,147.410004,148.839996,148.187637,8400
2019-06-24,148.259995,148.259995,147.729996,148.080002,147.430984,4000
2019-06-25,149.860001,151.869995,149.860001,150.860001,150.198792,11700
2019-06-26,149.270004,150.110001,148.990005,149.160004,148.506256,5600
2019-06-27,149.679993,150.679993,149.679993,150.559998,149.900101,17200
2019-06-28,150.479996,150.919998,150.169998,150.820007,150.158981,4900
2019-07-01,151.789993,152.210007,151.529999,152.080002,151.413452,5600
2019-07-02,151.979996,152.500000,151.830002,152.490005,151.821655,4300
2019-07-03,153.470001,153.899994,152.750000,153.899994,153.225464,1900
2019-07-05,153.619995,153.699997,151.899994,151.899994,151.234238,4400
2019-07-08,151.240005,151.240005,149.630005,150.369995,149.710938,8000
2019-07-09,150.009995,151.679993,150.009995,151.449997,150.786209,8000
2019-07-10,151.229996,151.649994,150.509995,151.490005,150.826035,6700
2019-07-11,150.979996,150.979996,148.110001,149.220001,148.565979,172900
2019-07-12,147.449997,147.899994,145.979996,146.990005,146.345764,62000
2019-07-15,146.860001,147.509995,146.529999,147.419998,146.773865,3600
2019-07-16,146.789993,147.130005,146.639999,146.740005,146.096863,49200
2019-07-17,147.110001,147.110001,146.119995,146.119995,145.479568,4100
2019-07-18,146.160004,146.800003,146.160004,146.770004,146.126724,2400
2019-07-19,146.869995,146.869995,145.619995,145.619995,144.981750,4000
2019-07-22,145.720001,145.720001,144.660004,145.080002,144.444122,4500
2019-07-23,145.240005,145.899994,145.240005,145.740005,145.101242,12900
2019-07-24,145.520004,146.369995,145.259995,146.369995,145.728470,2600
2019-07-25,146.240005,146.820007,145.759995,145.759995,145.121140,5400
2019-07-26,146.000000,147.000000,146.000000,146.899994,146.256149,61100
2019-07-29,147.000000,147.369995,146.789993,147.020004,146.375626,5900
2019-07-30,145.419998,145.649994,145.220001,145.649994,145.011627,2000
2019-07-31,146.070007,146.199997,144.020004,144.470001,143.836807,3400
2019-08-01,144.500000,145.520004,143.759995,144.250000,143.617767,8700
2019-08-02,144.179993,144.179993,143.289993,143.770004,143.139877,2700
2019-08-05,142.740005,142.740005,139.619995,140.800003,140.182892,7500
2019-08-06,141.820007,141.979996,140.690002,141.979996,141.357712,3300
2019-08-07,141.130005,142.160004,141.080002,141.710007,141.088898,4200
2019-08-08,142.520004,143.399994,141.990005,143.399994,142.771484,8100
2019-08-09,143.399994,143.619995,142.669998,143.139999,142.512634,6100
2019-08-12,142.679993,142.679993,141.059998,141.259995,140.640869,4800
2019-08-13,141.710007,143.179993,141.710007,142.350006,141.726105,8900
2019-08-14,141.229996,141.229996,138.300003,138.300003,137.693848,20800
2019-08-15,139.169998,139.169998,137.839996,138.309998,137.703796,5200
2019-08-16,139.169998,140.110001,139.169998,140.050003,139.436172,6800
2019-08-19,141.089996,142.309998,140.929993,141.889999,141.268112,21300
