Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,46.369999,46.380001,45.759998,45.990002,44.343594,25399600
2018-12-04,46.230000,46.470001,45.110001,45.139999,43.524017,27233300
2018-12-06,44.580002,44.990002,43.619999,44.980000,43.369747,30539400
2018-12-07,44.820000,44.939999,43.680000,43.919998,42.347691,26531200
2018-12-10,44.139999,44.560001,43.070000,44.400002,42.810513,24846200
2018-12-11,44.080002,44.509998,43.570000,44.009998,42.434471,22680200
2018-12-12,44.349998,44.849998,44.150002,44.160000,42.579105,19147000
2018-12-13,44.459999,44.900002,44.209999,44.570000,42.974426,22404100
2018-12-14,44.080002,44.119999,43.430000,43.799999,42.231995,31333000
2018-12-17,43.500000,43.970001,42.980000,43.110001,41.566692,36671600
2018-12-18,43.470001,43.500000,42.040001,42.400002,40.882107,29531100
2018-12-19,42.830002,42.990002,41.560001,41.970001,40.467506,35045500
2018-12-20,41.709999,42.410000,41.529999,41.950001,40.448223,32727400
2018-12-21,41.639999,42.869999,41.450001,41.930000,40.428936,58755400
2018-12-24,41.810001,41.959999,40.520000,40.549999,39.098339,18764900
2018-12-26,40.660000,42.200001,40.419998,42.189999,40.679626,24133900
2018-12-27,41.810001,42.849998,41.259998,42.849998,41.315998,27414300
2018-12-28,43.020000,43.540001,42.810001,42.959999,41.422058,24175500
2018-12-31,43.209999,43.730000,43.099998,43.650002,42.087360,19482000
2019-01-02,43.119999,43.500000,42.639999,43.250000,41.701675,25076200
2019-01-03,43.240002,43.340000,41.950001,42.040001,40.534996,27043200
2019-01-04,42.439999,43.349998,42.259998,43.000000,41.460629,25754600
2019-01-07,43.070000,43.619999,42.860001,43.230000,41.682396,19919800
2019-01-08,43.560001,43.700001,43.150002,43.430000,41.875237,18669100
2019-01-09,43.459999,43.669998,43.200001,43.340000,41.788460,19077400
2019-01-10,43.220001,43.230000,42.029999,42.310001,40.795334,37695600
2019-01-11,42.330002,42.880001,42.150002,42.880001,41.344929,19985300
2019-01-14,42.549999,42.630001,42.169998,42.369999,40.853180,16703200
2019-01-15,42.599998,43.240002,42.430000,42.730000,41.200291,24540200
2019-01-16,42.590000,42.790001,42.029999,42.110001,40.602489,28623700
2019-01-17,41.950001,42.660000,41.830002,42.470001,40.949600,22938600
2019-01-18,42.860001,42.880001,42.259998,42.529999,41.007454,36639900
2019-01-22,42.410000,42.689999,41.930000,42.270000,40.756763,27935600
2019-01-23,41.990002,42.200001,41.549999,42.160000,40.650703,23209500
2019-01-24,41.779999,41.790001,40.619999,40.950001,39.484016,32631900
2019-01-25,41.099998,41.250000,40.509998,40.639999,39.185116,34025100
2019-01-28,40.500000,40.529999,39.480000,39.529999,38.114849,37314700
2019-01-29,39.500000,40.849998,39.470001,40.770000,39.310463,48744600
2019-01-30,40.770000,41.750000,40.730000,41.580002,40.091465,34220000
2019-01-31,41.380001,42.619999,41.349998,42.450001,41.287788,38830600
2019-02-01,42.869999,43.119999,42.549999,42.880001,41.706017,25844100
2019-02-04,42.840000,42.840000,41.959999,42.439999,41.278061,18431200
2019-02-05,42.430000,42.730000,42.060001,42.110001,40.957096,20045200
2019-02-06,41.919998,42.369999,41.790001,42.330002,41.171074,15607600
2019-02-07,42.110001,42.150002,41.209999,41.700001,40.558323,23005700
2019-02-08,41.529999,42.240002,41.490002,42.230000,41.073811,26091200
2019-02-11,42.279999,42.310001,41.509998,41.680000,40.538868,25713600
2019-02-12,41.709999,42.009998,41.389999,41.869999,40.723667,28975500
2019-02-13,41.919998,42.060001,41.389999,41.700001,40.558323,23488800
2019-02-14,41.700001,42.119999,41.619999,41.970001,40.820930,18847200
2019-02-15,42.380001,42.509998,42.080002,42.400002,41.239159,18186900
2019-02-19,42.240002,42.860001,42.189999,42.599998,41.433681,23181200
2019-02-20,42.529999,42.560001,41.930000,42.200001,41.044636,25953400
2019-02-21,42.020000,42.320000,41.860001,42.139999,40.986279,18607100
2019-02-22,42.299999,43.130001,42.220001,42.959999,41.783825,23509800
2019-02-25,43.040001,43.369999,42.939999,43.080002,41.900543,23979900
2019-02-26,42.959999,43.230000,42.799999,43.020000,41.842182,15701100
2019-02-27,42.980000,43.220001,42.810001,42.930000,41.754646,15631000
2019-02-28,42.950001,43.779999,42.869999,43.349998,42.163147,37004200
2019-03-01,43.610001,43.790001,43.290001,43.360001,42.172871,25301500
2019-03-04,43.439999,43.590000,42.880001,43.070000,41.890812,21637400
2019-03-05,43.090000,43.250000,42.849998,42.889999,41.715736,25170600
2019-03-06,42.820000,42.869999,41.619999,41.860001,40.713940,21262200
2019-03-07,41.860001,41.889999,41.250000,41.389999,40.256809,27558000
2019-03-08,41.330002,41.439999,40.340000,40.889999,39.770500,29702200
2019-03-11,41.099998,41.520000,40.799999,41.500000,40.363800,27667500
2019-03-12,41.700001,41.919998,41.369999,41.730000,40.587502,22932200
2019-03-13,41.869999,42.130001,41.549999,42.009998,40.859837,22500300
2019-03-14,42.000000,42.080002,41.130001,41.189999,40.062283,30474000
2019-03-15,41.230000,41.880001,40.860001,41.779999,40.636131,70938000
2019-03-18,41.770000,42.070000,41.650002,41.810001,40.665310,18021200
2019-03-19,41.970001,42.430000,41.750000,42.299999,41.141895,25050500
2019-03-20,42.200001,42.400002,41.779999,42.169998,41.015453,22295100
2019-03-21,41.930000,42.639999,41.869999,42.349998,41.190521,23019500
2019-03-22,42.200001,42.619999,41.830002,41.849998,40.704212,18614900
2019-03-25,41.810001,42.150002,41.669998,41.889999,40.743122,18807700
2019-03-26,42.200001,42.700001,42.130001,42.419998,41.258610,19781100
2019-03-27,42.340000,42.639999,41.919998,42.020000,40.869560,18458300
2019-03-28,42.180000,42.369999,42.060001,42.290001,41.132168,16048900
2019-03-29,42.400002,42.580002,42.189999,42.470001,41.307240,20571000
2019-04-01,42.580002,42.939999,42.549999,42.840000,41.667114,19302700
2019-04-02,42.950001,43.180000,42.740002,42.910000,41.735195,17670900
2019-04-03,42.990002,43.070000,42.549999,42.840000,41.667114,15370400
2019-04-04,42.790001,42.919998,42.500000,42.740002,41.569851,12325400
2019-04-05,42.980000,43.279999,42.889999,42.990002,41.813004,14761900
2019-04-08,43.070000,43.279999,42.910000,43.139999,41.958897,14620800
2019-04-09,42.980000,43.000000,42.580002,42.840000,41.667114,17860600
2019-04-10,42.919998,42.919998,42.650002,42.730000,41.560123,12526200
2019-04-11,42.790001,42.830002,41.990002,42.270000,41.112717,19179200
