Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,175.649994,176.000000,172.869995,173.889999,171.987366,1880500
2018-12-04,173.800003,175.240005,171.750000,172.250000,170.365326,1703200
2018-12-06,170.419998,172.440002,167.149994,172.440002,170.553238,1594900
2018-12-07,172.020004,172.259995,167.690002,168.850006,167.002502,1268400
2018-12-10,169.440002,171.869995,167.009995,171.220001,169.346588,1106000
2018-12-11,172.779999,174.169998,171.279999,171.660004,169.781784,1385600
2018-12-12,172.669998,174.919998,171.750000,172.610001,170.721375,1477000
2018-12-13,173.259995,174.850006,172.259995,172.860001,170.968643,904700
2018-12-14,171.889999,171.990005,165.949997,166.559998,164.737564,1463500
2018-12-17,165.529999,165.529999,159.149994,160.110001,158.358154,2355100
2018-12-18,163.550003,163.550003,159.809998,161.479996,159.713150,1394000
2018-12-19,161.809998,162.350006,156.000000,158.000000,156.271225,1276400
2018-12-20,157.160004,157.910004,152.630005,153.789993,152.107285,1778200
2018-12-21,153.789993,156.649994,150.630005,150.729996,149.080765,2747300
2018-12-24,150.039993,150.580002,144.949997,145.000000,143.413467,998300
2018-12-26,145.470001,150.830002,144.750000,150.830002,149.179688,1937900
2018-12-27,149.279999,154.600006,148.009995,154.600006,152.908432,1623500
2018-12-28,155.000000,156.619995,153.610001,154.800003,153.622971,1245900
2018-12-31,155.300003,158.039993,155.279999,156.750000,155.558121,1186200
2019-01-02,155.869995,157.720001,153.429993,154.500000,153.325226,1750000
2019-01-03,155.020004,155.779999,151.630005,152.460007,151.300751,2320100
2019-01-04,154.240005,158.860001,154.240005,157.059998,155.865768,1785200
2019-01-07,156.779999,159.679993,156.350006,157.000000,155.806213,1617600
2019-01-08,158.050003,159.470001,156.539993,158.899994,157.691772,1499800
2019-01-09,160.029999,161.880005,159.429993,159.800003,158.584930,1216200
2019-01-10,159.009995,161.449997,158.210007,161.339996,160.113220,1015700
2019-01-11,160.059998,160.619995,158.899994,159.490005,158.277298,1116100
2019-01-14,158.229996,159.410004,157.550003,157.660004,156.461197,1327200
